,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ranking,Fecha
75,Russia,5.477,1.241,0.992,0.511,0.409,0.115,0.06,76,13/03/2021
76,Hong Kong S.A.R. of China,5.477,1.525,0.841,0.893,0.408,0.232,0.342,77,13/03/2021
77,Tajikistan,5.466,0.508,0.895,0.498,0.548,0.152,0.247,78,13/03/2021
78,Vietnam,5.411,0.817,0.873,0.616,0.679,0.124,0.091,79,13/03/2021
79,Libya,5.41,1.044,0.821,0.435,0.474,0.131,0.174,80,13/03/2021
80,Malaysia,5.384,1.259,0.797,0.587,0.624,0.27,0.064,81,13/03/2021
81,Indonesia,5.345,0.954,0.786,0.433,0.598,0.541,0.046,82,13/03/2021
82,Congo (Brazzaville),5.342,0.518,0.392,0.307,0.381,0.144,0.124,83,13/03/2021
83,China,5.339,1.061,0.785,0.665,0.636,0.093,0.117,84,13/03/2021
84,Ivory Coast,5.306,0.669,0.409,0.052,0.438,0.177,0.092,85,13/03/2021
85,Armenia,5.283,0.996,0.758,0.585,0.54,0.079,0.198,86,13/03/2021
86,Nepal,5.269,0.519,0.702,0.496,0.488,0.287,0.135,87,13/03/2021
87,Bulgaria,5.266,1.181,1.055,0.583,0.494,0.125,0.005,88,13/03/2021
88,Maldives,5.198,1.115,1.015,0.697,0.575,0.204,0.073,89,13/03/2021
89,Azerbaijan,5.171,1.025,0.841,0.541,0.526,0.043,0.276,90,13/03/2021
90,Cameroon,5.142,0.543,0.556,0.159,0.425,0.205,0.058,91,13/03/2021
91,Senegal,5.132,0.518,0.558,0.357,0.381,0.158,0.088,92,13/03/2021
92,Albania,5.117,1.008,0.529,0.646,0.491,0.168,0.024,93,13/03/2021
93,North Macedonia,5.101,1.068,0.772,0.535,0.45,0.212,0.022,94,13/03/2021
94,Ghana,5.088,0.68,0.595,0.287,0.517,0.268,0.058,95,13/03/2021
95,Niger,5.074,0.162,0.402,0.167,0.516,0.2,0.157,96,13/03/2021
96,Turkmenistan,5.066,1.046,1.172,0.439,0.602,0.366,0.033,97,13/03/2021
97,Gambia,5.051,0.367,0.511,0.21,0.384,0.465,0.123,98,13/03/2021
98,Benin,5.045,0.507,0.058,0.196,0.457,0.166,0.178,99,13/03/2021
99,Laos,5.03,0.808,0.598,0.33,0.643,0.268,0.179,100,13/03/2021
100,Bangladesh,5.025,0.635,0.52,0.514,0.603,0.161,0.164,101,13/03/2021
101,Guinea,4.984,0.42,0.399,0.206,0.384,0.25,0.111,102,13/03/2021
102,South Africa,4.956,0.967,0.895,0.265,0.447,0.144,0.051,103,13/03/2021
103,Turkey,4.948,1.26,0.809,0.59,0.236,0.097,0.104,104,13/03/2021
104,Pakistan,4.934,0.637,0.423,0.322,0.418,0.252,0.097,105,13/03/2021
105,Morocco,4.918,0.792,0.219,0.558,0.477,0.034,0.088,106,13/03/2021
106,Venezuela,4.892,0.852,0.897,0.574,0.284,0.078,0.072,107,13/03/2021
